hand,prob
22,0.999248
32o,0.996252
32s,0.995341
33,0.989267
42o,0.999357
42s,0.999725
43o,0.997746
43s,0.998307
44,0.999669
52o,0.999216
52s,0.999456
53o,0.998072
53s,0.997336
54o,0.99971
54s,0.999889
55,0.99985
62o,0.997948
62s,0.998116
63o,0.996649
63s,0.99736
64o,0.998618
64s,0.999855
65o,0.999194
65s,0.999435
66,0.999395
72o,0.999012
72s,0.999341
73o,0.995066
73s,0.997757
74o,0.99972
74s,0.999212
75o,0.999803
75s,0.999892
76o,0.999369
76s,0.999686
77,0.999689
82o,0.999556
82s,0.999789
83o,0.998883
83s,0.999357
84o,0.999801
84s,0.99982
85o,0.999873
85s,0.999886
86o,0.999061
86s,0.999931
87o,0.999816
87s,0.999957
88,0.99998
92o,0.998961
92s,0.999138
93o,0.993028
93s,0.996777
94o,0.999308
94s,0.9993
95o,0.999347
95s,0.999432
96o,0.997749
96s,0.99961
97o,0.999367
97s,0.999473
98o,0.9997
98s,0.999773
99,0.997621
A2o,0.998572
A2s,0.999009
A3o,0.994797
A3s,0.987503
A4o,0.999109
A4s,0.999784
A5o,0.99947
A5s,0.998852
A6o,0.996683
A6s,0.987071
A7o,0.998559
A7s,0.999553
A8o,0.99949
A8s,0.999433
A9o,0.997431
A9s,0.995829
AA,0.996098
AJo,0.990619
AJs,0.991423
AKo,0.999752
AKs,0.999685
AQo,0.996153
AQs,0.997548
ATo,0.999827
ATs,0.999822
J2o,0.996524
J2s,0.991935
J3o,0.959536
J3s,0.990112
J4o,0.994849
J4s,0.999014
J5o,0.99865
J5s,0.999517
J6o,0.994541
J6s,0.994258
J7o,0.997775
J7s,0.999238
J8o,0.999249
J8s,0.995252
J9o,0.996047
J9s,0.992014
JJ,0.983663
JTo,0.999627
JTs,0.999131
K2o,0.999877
K2s,0.999846
K3o,0.999134
K3s,0.999013
K4o,0.999898
K4s,0.999962
K5o,0.999968
K5s,0.999887
K6o,0.999697
K6s,0.999957
K7o,0.999907
K7s,0.999962
K8o,0.999983
K8s,0.999982
K9o,0.999679
K9s,0.999862
KJo,0.998574
KJs,0.999016
KK,0.999993
KQo,0.999721
KQs,0.999741
KTo,0.999993
KTs,0.999993
Q2o,0.998963
Q2s,0.998231
Q3o,0.995152
Q3s,0.98269
Q4o,0.998529
Q4s,0.999577
Q5o,0.998809
Q5s,0.999238
Q6o,0.996657
Q6s,0.991875
Q7o,0.998719
Q7s,0.999121
Q8o,0.999559
Q8s,0.999279
Q9o,0.996411
Q9s,0.998345
QJo,0.992263
QJs,0.981591
QQ,0.997101
QTo,0.999888
QTs,0.999848
T2o,0.999938
T2s,0.999911
T3o,0.999664
T3s,0.999811
T4o,0.999949
T4s,0.999975
T5o,0.999949
T5s,0.99999
T6o,0.999882
T6s,0.999928
T7o,0.999936
T7s,0.999975
T8o,0.999994
T8s,0.99997
T9o,0.999847
T9s,0.999826
TT,0.999997
