hand,prob
22,0.843418
32o,0.789218
32s,0.87496
33,0.832291
42o,0.945189
42s,0.970499
43o,0.933541
43s,0.857963
44,0.971782
52o,0.952051
52s,0.94428
53o,0.887429
53s,0.832654
54o,0.964182
54s,0.993889
55,0.984271
62o,0.925816
62s,0.916352
63o,0.880932
63s,0.800103
64o,0.965277
64s,0.870218
65o,0.95841
65s,0.966924
66,0.961017
72o,0.979998
72s,0.973093
73o,0.963552
73s,0.922451
74o,0.992045
74s,0.992696
75o,0.991763
75s,0.998519
76o,0.992199
76s,0.973446
77,0.997925
82o,0.935272
82s,0.97014
83o,0.866417
83s,0.969086
84o,0.967225
84s,0.984988
85o,0.985545
85s,0.972259
86o,0.958751
86s,0.992182
87o,0.993439
87s,0.993424
88,0.984882
92o,0.938574
92s,0.962168
93o,0.941657
93s,0.957365
94o,0.965166
94s,0.986021
95o,0.976947
95s,0.989091
96o,0.967296
96s,0.986193
97o,0.994389
97s,0.99506
98o,0.984729
98s,0.94898
99,0.98666
A2o,0.956328
A2s,0.976705
A3o,0.931357
A3s,0.872116
A4o,0.970558
A4s,0.967602
A5o,0.97899
A5s,0.986193
A6o,0.96788
A6s,0.949657
A7o,0.993874
A7s,0.990353
A8o,0.975629
A8s,0.985929
A9o,0.982525
A9s,0.991187
AA,0.966451
AJo,0.974097
AJs,0.932277
AKo,0.988977
AKs,0.99346
AQo,0.974684
AQs,0.981172
ATo,0.937741
ATs,0.928706
J2o,0.93564
J2s,0.940273
J3o,0.882818
J3s,0.867992
J4o,0.974412
J4s,0.924849
J5o,0.963049
J5s,0.985872
J6o,0.953416
J6s,0.87181
J7o,0.977108
J7s,0.995197
J8o,0.96012
J8s,0.962589
J9o,0.943455
J9s,0.972244
JJ,0.98142
JTo,0.943347
JTs,0.880659
K2o,0.966414
K2s,0.94789
K3o,0.932698
K3s,0.852884
K4o,0.981023
K4s,0.988826
K5o,0.987681
K5s,0.992044
K6o,0.976705
K6s,0.971088
K7o,0.996352
K7s,0.99682
K8o,0.987671
K8s,0.997802
K9o,0.983207
K9s,0.996731
KJo,0.971677
KJs,0.973914
KK,0.99813
KQo,0.989288
KQs,0.982926
KTo,0.964692
KTs,0.946139
Q2o,0.927875
Q2s,0.942857
Q3o,0.885636
Q3s,0.900704
Q4o,0.97153
Q4s,0.981381
Q5o,0.976694
Q5s,0.980093
Q6o,0.933153
Q6s,0.955613
Q7o,0.991947
Q7s,0.989057
Q8o,0.970295
Q8s,0.989738
Q9o,0.974752
Q9s,0.989428
QJo,0.964678
QJs,0.940536
QQ,0.963766
QTo,0.925446
QTs,0.923753
T2o,0.866374
T2s,0.957458
T3o,0.843456
T3s,0.741103
T4o,0.953171
T4s,0.797498
T5o,0.941516
T5s,0.948828
T6o,0.932213
T6s,0.842276
T7o,0.991187
T7s,0.950532
T8o,0.933068
T8s,0.95363
T9o,0.930748
T9s,0.977543
TT,0.913046
